TIME,BIN1,BIN2,BIN3,BIN4,BIN5,BIN6,BIN7,BIN8,BIN9,BIN10,BIN11,BIN12,BIN13,BIN14,BIN15,BIN16,BIN17,BIN18,BIN19,BIN20,BIN21
136.347574,-254.321198,136.051605,-31.798683,1.821500,-24.183332,-14.546837,11.669924,-3.692190,-9.470707,-8.579185,-4.380499,8.087255,9.627465,5.590247,1.773001,-3.665232,6.687719,5.529382,-2.582265,-2.121142,-14.693682
136.370794,-108.010536,143.044952,-33.570770,31.143475,-18.795824,4.009623,11.348638,4.563721,-3.886521,0.255566,-10.705082,4.404764,5.548036,3.132409,-10.296741,-12.969868,0.869773,6.262241,-4.891819,-3.789791,-16.651390
136.394014,-83.544685,151.660767,-23.746265,42.784550,-4.458035,14.755741,19.199394,9.513187,3.390326,7.546659,-4.540114,6.417315,7.381778,6.633677,-8.285980,-9.943222,1.303793,6.916066,-6.455088,-2.504582,-12.624561
136.417234,-126.655602,152.026581,-10.591643,46.679436,12.108149,18.442596,21.986469,14.583204,9.456470,13.996689,2.872774,3.516531,3.007927,6.145767,1.494731,-0.415718,3.150298,5.400899,-7.450245,-3.929357,-6.974814
136.440454,-157.015244,154.031906,-5.010887,40.671719,17.301062,15.341356,22.950632,20.781204,9.255395,15.738643,2.297366,6.373135,5.566472,4.551610,5.150743,3.613468,1.973572,6.883237,3.149160,-1.894596,0.037191
136.463673,-190.433380,156.091537,9.880657,31.072689,20.802921,16.212017,17.573851,18.842564,7.790224,18.954346,6.762607,9.155966,8.868197,-0.388296,9.311153,3.736987,-1.718828,7.945290,6.130469,-2.559496,2.209701
136.486893,-210.850006,151.599365,16.707716,24.449814,22.531229,20.056107,8.743912,11.971807,3.480060,21.019165,10.682547,12.590893,8.061269,-5.421890,13.988081,9.308855,-8.434329,8.869741,12.445967,0.790415,-0.056708
136.510113,-220.994644,148.019836,19.904142,16.591686,23.312502,17.782318,8.890491,12.195727,0.820869,19.322903,12.044474,10.883066,11.744493,-3.025337,17.084137,11.805250,-10.553093,11.766253,13.120974,2.386859,2.101901
136.533333,-240.586563,137.756256,17.563993,17.758041,31.129496,19.550817,17.656769,15.923477,-3.504816,18.002161,15.470654,9.851925,11.305487,-2.513827,16.367563,12.728674,-10.894375,14.336538,13.225419,1.074184,3.949375
136.556553,-261.125458,136.341187,17.939943,24.651131,38.283142,22.101889,25.306412,17.154655,-5.005729,16.911297,13.625376,8.745741,14.056128,-2.336992,19.249786,22.414375,-11.289239,10.728844,12.411317,-3.486683,-2.435776
136.579773,-274.902039,148.820190,20.372807,22.930241,32.297161,21.478334,20.262146,12.778908,-4.368505,15.642918,12.407381,7.546820,13.663187,3.167123,19.601307,16.458563,-14.028745,9.196726,13.993255,-4.750614,-5.924972
136.602993,-295.600250,156.863098,21.492292,20.226620,34.960197,23.756426,13.644989,7.724346,-1.754285,13.222906,16.453655,5.411481,5.339137,5.025846,17.466206,8.615750,-9.989757,9.327923,11.515975,-5.248280,-4.115775
136.626213,-319.128540,152.837616,27.507149,19.143078,37.598598,27.643574,21.842800,11.878782,2.525404,10.700418,16.684919,10.559461,1.938855,2.134903,10.590405,4.621156,-5.819862,6.541550,12.605947,-3.659078,-6.656948
136.649433,-330.191681,148.274994,31.056992,16.225628,36.733154,31.231750,22.179592,12.177210,2.964653,8.656047,16.470428,11.888963,2.404326,1.907312,8.914066,6.163066,-0.720039,5.773325,8.613974,-2.939086,-6.181364
136.672653,-244.689621,144.739838,-10.337928,14.082897,19.660019,16.884274,18.907974,10.025881,-6.564892,28.390360,23.006302,3.441894,4.782251,-14.205617,20.223431,17.259396,-14.444212,11.066538,9.528610,-4.743171,8.047695
136.695873,-142.886414,139.486450,-33.134796,6.266635,2.456208,7.583539,12.597731,8.429646,-11.222960,28.707943,18.530478,-4.723778,0.690157,-12.571360,14.755841,19.911444,-10.864220,6.805892,10.452797,-1.110320,14.129819
136.719093,-84.078217,130.544464,-46.219112,-1.917604,-8.308832,6.928947,10.053418,9.835730,-14.153852,26.484194,14.589554,-8.890707,-3.332374,-6.154789,9.794953,18.766537,-6.518476,2.727625,7.546747,3.775388,16.173534
136.742313,-67.373863,118.599152,-55.060955,1.686474,-14.605995,13.078216,10.935719,14.306341,-13.330465,24.148405,16.128128,-15.144331,-6.068989,-4.474112,10.621778,21.937944,-8.472752,0.989837,-1.317253,4.294542,16.719410
136.765533,-81.822754,107.313560,-60.334625,11.313495,-17.465366,19.554283,10.804008,15.046659,-13.910892,19.299597,20.976496,-16.326321,-7.221745,-0.419605,20.932756,28.381033,-7.398420,1.787790,-8.092227,3.744686,16.865044
136.788753,-95.461960,102.123489,-61.395401,14.292922,-15.130821,16.162413,12.362406,12.062657,-11.887857,7.795953,20.820908,-11.127501,-1.911618,1.682529,22.616100,27.141685,-8.197189,-2.404867,-1.877249,7.457693,20.748505
136.811973,-111.308517,98.602127,-67.156189,12.020432,-12.583011,9.915653,9.140780,9.372016,-4.882114,-1.118238,16.945034,-4.925336,3.523797,2.092028,11.752146,29.636360,-7.650987,-0.390780,-0.271060,5.566146,20.412285
136.835193,-127.988243,106.249176,-73.666901,9.401522,-15.142111,6.525463,2.894786,0.626999,2.627997,-3.888626,18.371178,-9.989067,4.680576,-0.175065,7.958957,27.595156,-3.099557,2.681546,-2.776540,-3.086754,17.715626
136.858413,-136.741837,124.086121,-76.403572,5.203668,-14.597036,0.571568,6.466259,-5.350351,6.371735,-10.934244,15.745834,-13.069078,8.095094,-3.921968,4.235431,22.591457,-2.720197,6.087637,0.104288,-4.721197,10.563591
136.881633,-157.252563,139.667816,-71.528076,3.494127,-6.197453,-3.681085,6.296435,-3.182759,-2.204549,-13.243593,14.330884,-13.574512,-0.210992,-10.900328,9.023780,18.711189,-10.360052,3.233555,3.308654,-1.152929,7.534663
136.904853,-186.211807,127.565071,-60.587784,13.343575,4.207253,-2.174756,6.412839,-0.051547,-10.551945,-16.760313,20.481201,-8.598750,-5.874881,-7.171659,8.005188,15.418879,-13.776644,-1.162975,-0.682463,1.682559,6.055258
136.928073,-156.712402,85.481911,-12.961487,-1.164303,20.193323,-6.776151,7.968152,-0.140464,-29.202526,-7.868538,4.896935,6.912735,-8.977551,-1.410731,2.555274,12.180961,-16.425301,-2.387094,3.083215,6.000167,4.448019
136.951293,-118.080704,35.373569,16.686852,4.783672,3.285570,-5.188445,14.358887,-5.488895,-27.149097,-0.689068,-9.051476,4.993923,-3.045395,-7.189813,-2.242164,15.444763,-15.355909,-3.389263,8.251897,2.247020,1.395863
136.974512,-121.483261,-3.795222,20.996695,5.786211,-2.560707,2.194452,20.343166,-1.201272,-15.388378,9.288518,-9.270483,2.534038,0.322794,-8.926615,-0.479072,17.557060,-5.900211,4.792227,9.256537,-4.420754,3.598825
136.997732,-141.662659,-30.598803,12.677881,-3.091557,-8.805318,4.454276,20.623102,2.990187,-11.158559,10.948647,-7.546151,8.082088,11.314779,-3.652077,6.605255,19.201988,-3.059015,8.402873,12.538934,-3.366829,5.994849
137.020952,-153.353928,-40.702774,17.287184,5.254414,-15.398146,1.801255,15.672653,0.364844,-18.414730,11.226753,-5.506832,8.128770,13.188530,-2.662061,8.703136,10.152777,-8.331452,5.639302,13.954264,3.404794,8.661997
137.044172,-155.276062,-41.158527,20.147709,10.327667,-19.095100,2.875095,13.402245,7.947692,-15.070945,10.747799,-3.499938,2.301689,8.112978,-6.751320,11.989044,10.916609,-9.653947,3.235965,11.553564,-1.116127,2.082717
137.067392,-39.445103,30.019087,-5.879849,-10.609282,-22.980793,-5.331211,8.539989,13.531939,-14.566496,-8.908594,-16.177185,-1.475032,-1.422949,-15.164578,5.760510,3.764576,-5.872044,2.063635,-0.648483,-6.385191,-10.085807
137.090612,24.632044,67.540550,-10.838888,1.095324,-5.344612,6.601347,14.561547,17.769127,-7.266695,-4.742197,-9.050530,5.450727,1.752429,-6.820133,4.227812,1.780001,-6.054319,2.083735,-1.259940,-4.580825,-12.950651
137.113832,18.838848,97.314941,-8.958052,14.126070,9.018272,14.891224,11.797009,12.260897,-6.461427,2.239580,-2.870954,7.388569,4.097631,3.551663,5.753051,7.076199,-6.690547,5.720264,2.940837,1.529739,-15.322344
137.137052,-6.985763,116.925476,-18.673241,23.818630,12.207783,12.111221,6.669221,8.617464,-3.403437,15.812649,5.209928,5.985303,1.958507,7.555972,6.125610,6.091360,-3.054093,7.830051,7.350505,6.207185,-9.726870
137.160272,-19.166798,129.536224,-30.137554,22.668930,6.418913,7.375481,7.869032,13.670063,1.421976,23.373960,9.984751,7.161567,1.103942,9.529597,2.330771,5.242442,1.239273,7.906715,6.921885,7.854142,-4.137910
137.183492,-28.994333,131.216187,-42.309948,23.379679,1.579215,6.314995,10.047670,20.565327,2.786249,19.588213,10.816594,3.811527,0.868061,7.316755,4.734675,6.580488,2.442471,6.421355,6.579966,5.169258,1.119543
137.206712,-43.783531,129.897766,-40.824413,27.542355,4.026134,3.255310,8.035883,16.621929,-3.259991,14.633299,8.944159,-2.074204,1.872077,8.401096,9.740656,10.030422,6.725002,6.430975,2.158549,0.898150,-1.414726
137.229932,-65.486099,128.315582,-39.419895,21.159790,5.595129,3.547329,6.329520,13.924350,-1.831862,14.760234,8.654099,-5.914102,5.930034,13.941974,14.596565,12.680727,6.941516,7.493279,-4.757602,2.669616,4.665051
137.253152,-85.576782,131.628815,-38.892525,13.897869,5.635325,8.060946,8.308011,14.329842,4.437244,14.250977,17.274498,-8.484936,3.984959,11.866153,17.308392,14.311481,10.932126,5.958298,-5.928746,4.711197,8.722334
137.276372,-89.852844,131.848175,-39.276936,8.945162,1.157403,10.038093,15.383018,19.810890,8.206814,14.482643,26.394787,-1.888472,4.445913,7.801643,13.421498,13.725728,8.910287,2.924125,-3.522958,10.687803,3.316903
137.299592,-91.410126,129.068283,-41.485931,8.091251,-1.356917,7.415089,7.919180,18.831280,3.423540,10.550561,30.515844,2.490853,5.381981,1.198440,8.596902,15.487710,4.612016,3.935342,0.846617,19.234806,1.299642
137.322812,-99.902405,131.731140,-35.312279,3.797067,3.642126,3.097188,1.135763,11.172114,1.166353,4.967198,29.294426,10.174643,10.832911,-4.141794,7.575983,12.137062,6.950484,8.392193,4.523610,19.880527,4.714405
137.346032,-118.788750,135.470764,-30.139458,-0.922029,16.486084,10.584141,-0.458185,6.062682,-0.408128,6.987206,16.016041,10.622065,10.708152,4.521245,8.412609,12.787430,12.293693,10.615589,1.037571,8.970409,3.881470
137.369252,-135.120483,134.147369,-30.839714,2.892072,25.039997,19.784702,1.690583,11.494175,-7.414576,12.577692,2.715607,0.921943,6.802552,5.274946,11.590422,15.898998,15.678980,5.307477,-0.450865,2.218446,0.721280
137.392472,-125.646698,123.609299,-34.905190,5.847571,34.147884,8.231789,-5.252638,20.564800,-9.468966,18.013203,1.941759,7.178951,1.373064,-6.069611,19.383934,14.888954,4.437222,-2.971157,3.816793,0.523346,-4.448173
137.415692,-105.499527,109.906799,-36.632309,6.269481,35.797794,1.496887,-11.195458,29.501904,-13.799423,11.499894,6.244640,11.990123,0.731258,-2.253427,17.782349,11.904210,-2.292637,-5.900356,-4.523538,6.476018,-1.983937
137.438912,-98.922249,96.333038,-27.978771,13.525583,29.990656,-0.056730,-10.272215,30.193432,-6.811928,2.635816,7.892990,12.761337,0.666118,-5.398548,10.230862,12.217859,-9.445797,-6.424980,-8.140586,4.251737,-2.403299
137.462132,-108.932549,83.009033,-12.573679,18.839405,20.005512,5.823320,-7.866372,23.212078,-1.275489,-8.037463,0.179990,14.791336,2.398674,-15.363186,10.137716,11.732405,-12.398830,-5.628978,-12.401287,3.652523,-2.554183
137.485351,-121.609917,71.143143,-0.299478,19.488125,18.680202,12.519057,-10.462944,18.561241,-4.010408,-3.663564,-0.479693,13.373848,1.851421,-17.570518,12.747401,6.453290,-10.294163,1.290321,-10.549904,1.470610,1.267697
137.508571,-124.604630,67.199799,11.834274,7.176838,19.607952,6.991168,-10.425690,11.029711,-5.970984,-2.882737,5.074284,9.132305,-3.464304,-10.985604,9.781437,0.403563,-12.006690,3.773616,-8.871097,4.542539,4.279325
137.531791,-133.493591,76.205612,13.010898,-9.406878,23.641138,6.734113,-2.760882,-5.333696,-6.054335,-10.106480,4.896242,1.451850,-10.215687,-6.030975,3.503961,-2.353371,-14.732609,-2.408109,-7.944389,7.462143,1.501037
137.555011,-155.992279,80.053284,3.387094,-12.050238,28.359612,-3.059265,0.949103,-7.582412,-1.704376,-2.583717,3.357282,-1.664835,-7.484797,-6.810149,2.453857,0.185558,-13.502663,-4.544651,-3.343246,3.630367,-1.892766
137.578231,-136.482635,33.416748,17.599773,-13.075293,18.655632,-10.671343,0.882402,-4.537544,3.398342,0.578350,-1.615371,3.212492,-7.165492,-9.469978,1.654884,6.362491,-14.379337,-4.290788,0.522657,5.535112,-1.271981
137.601451,-132.374893,9.274615,21.768318,-20.636787,10.166000,-8.291306,7.198860,-2.071406,7.004616,7.942883,-2.065595,12.294195,-7.485577,-7.704209,3.696409,11.644668,-14.663391,-3.157263,1.489281,2.708273,-1.177084
137.624671,-141.675842,0.113739,24.591208,-18.056759,1.747574,0.270304,9.433640,-0.482886,4.069234,16.933102,-1.828511,12.991726,-4.445936,-1.003197,14.053619,18.784264,-13.485966,-0.474918,0.062168,-2.947573,-3.553674
137.647891,-141.568771,0.765517,30.778755,-1.965314,-1.253045,9.729117,5.998142,-2.935736,-1.096147,18.117767,-10.262100,-1.873740,-9.706047,-4.746898,14.356581,17.154545,-14.441243,-3.479130,-5.843023,-6.382524,-1.071134
137.671111,-138.962646,18.255083,20.432705,8.867719,-0.507271,10.883553,-3.598850,-11.139545,-11.141748,19.730339,-7.226327,-12.652195,-16.194847,-2.331480,18.410543,14.561939,-17.989845,1.488736,-4.334467,-10.252611,-5.681667
137.694331,-142.536331,49.404716,-12.151840,14.512823,0.668269,1.265629,-2.253386,-6.345453,-14.423206,19.772919,2.317879,-16.526241,-11.655779,-0.447405,15.192455,7.010248,-18.248692,6.029618,-2.912452,-11.542249,-7.810493
137.717551,-156.448349,62.258568,-29.763123,16.485092,5.050181,-2.598375,-4.666775,-2.676343,-21.930431,13.585688,11.071640,-18.134579,-5.330658,-3.696456,5.216290,0.649101,-14.823996,3.232847,0.819404,-10.528219,-3.036201
137.740771,-156.264816,62.010303,-23.490736,15.265501,7.332811,-3.412077,-8.338545,0.298591,-27.365154,12.261255,11.202740,-19.500252,-5.284863,-2.041722,-0.971363,0.547861,-14.365101,0.962935,0.940025,-7.237450,-2.688829
137.763991,-159.389725,63.703560,-24.991562,13.021629,5.818515,-0.273130,-6.422681,-0.877210,-32.841454,9.667720,9.794252,-21.265453,-3.118691,-2.769647,-1.023256,6.714112,-10.312964,-2.706209,-3.031069,-10.478224,-2.260226
137.787211,-84.276436,112.283775,-21.608988,9.416824,-9.252644,4.157870,8.186527,-1.394966,-22.480965,0.075862,-1.175759,-11.988801,-2.952276,-5.710063,-4.507592,-8.572819,-4.922009,-2.936319,-11.489885,-13.777018,-7.761011
137.810431,-51.139217,135.796295,-10.806326,20.451950,0.566962,13.642851,20.168434,3.965537,-5.404688,5.174564,-2.145131,-1.636962,3.858466,1.628290,-1.437422,-11.621414,0.164624,-1.808871,-7.577249,-9.855433,-5.384861
137.833651,-72.509560,138.046768,-4.455057,24.570509,20.188301,15.894789,25.777687,9.314722,-3.012248,13.606234,2.051973,5.491856,1.990350,1.198722,1.485816,-7.222907,2.274943,-5.037800,-2.972417,-11.780268,-4.549758
137.856871,-92.368111,134.974060,0.208880,17.363300,36.959991,15.614889,22.097431,10.816566,-6.172255,21.264820,7.436189,4.917676,-2.793824,0.280744,9.170799,-0.789627,2.849387,-7.849390,3.288741,-9.195352,-3.171859
137.880091,-102.874504,133.475769,-0.013239,8.659003,46.013306,20.371479,15.812772,8.772018,-0.840596,23.475044,7.703214,-0.861736,4.218287,3.791668,8.490994,-1.479150,0.331161,-3.576241,13.175182,-7.274784,-1.895368
137.903311,-108.767731,120.321838,3.063429,9.638137,44.527618,21.440905,9.712249,6.903069,3.213269,20.140087,3.969244,0.593206,7.911578,-0.881850,4.548903,-0.604640,0.545259,4.299995,5.492094,-5.890595,-0.467484
137.926531,-109.733788,114.601105,10.829053,4.133887,38.858276,17.691402,1.142499,9.247478,3.949375,14.753511,-0.173116,3.415903,4.671961,1.058450,5.993135,0.400266,5.310729,5.145448,-3.324962,-0.875532,1.595778
137.949751,-118.670448,108.920952,14.692667,2.603134,40.682880,15.102598,-5.081251,12.065800,3.020204,14.361758,2.746084,3.975279,3.575418,2.535506,10.085666,-4.391048,7.474219,8.486208,0.141997,2.100699,-2.275230
137.972971,-132.165283,102.499832,10.216229,-1.082108,42.802460,18.994411,-1.649089,15.592182,1.903696,20.412695,2.910858,4.372546,8.204150,8.275580,13.558058,-8.463675,7.310475,8.360254,-1.808865,1.561328,-3.586154
137.996190,-132.750183,103.659004,12.064176,-4.821973,39.285187,20.581806,6.356740,12.862539,-2.313725,25.007504,4.479820,-1.694842,2.331447,6.550892,16.491276,-9.387243,5.255106,7.317671,0.263824,3.360170,-10.802947
138.019410,-143.599335,102.795784,14.104563,-7.670489,32.236004,17.510551,12.847258,6.793850,-5.927627,26.404015,9.165030,-0.585494,-0.833346,2.823009,17.564701,-5.947089,2.040699,6.600132,2.639199,7.105278,-17.136898
138.042630,-158.789215,108.223648,9.783837,-4.166533,34.685654,16.917608,16.118988,8.256795,-1.884064,25.934547,13.110826,2.588847,-0.213315,1.456621,13.135946,-4.898916,-4.152295,3.276454,-5.853989,3.237729,-21.594273
138.065850,-179.232407,121.159325,10.035576,14.996443,31.122360,23.368053,15.227383,10.844093,-3.486628,11.377748,1.583438,5.979609,-2.631273,-0.678037,8.489871,0.323639,-5.093878,3.533115,-8.902878,-2.288280,-13.581977
138.089070,-175.394821,106.895370,23.632874,21.084961,34.712685,22.223570,12.209425,4.035617,-1.367495,3.365343,-3.557499,0.138610,-8.176504,-1.137628,1.276109,6.834435,-7.018651,9.709440,1.928248,0.295022,-5.735522
138.112290,-133.093811,49.613586,35.310699,13.121094,34.390530,21.316980,9.039609,2.999747,1.076126,7.777262,-5.329111,-3.109822,-3.209844,10.693281,2.321677,16.157757,-7.629739,8.431540,9.979734,3.054962,-5.398753
